Export["C:\\Users\\willi\\Desktop\\35Clicks\\#.jpg",MatrixPlot[ArrayReshape[{ARR},{9,9}]], "JPEG"]

Clicks -- board
35 -- 011111001110010010001010000110101001011011001001000000010011100100100101000111010
35 -- 001011011101000100011110001000101010010010100110111010010000000100111001010011001
35 -- 101101100001100011001110000000001111010011101000011011011000010001011010010010010
35 -- 100011011110001000011111000111010110010011001010100100100001110001010101000000001
35 -- 001100001110100000100000010100010011111111100010000111100100100111100010100101100
35 -- 110000101100111110011000110100001110000011101001010000011010000001011100010011100
35 -- 001110001000011000111010010110000001011110100100110000110101100110101101000011000
35 -- 011110010010111101000001000100010010000010101011100000011110100101001100100111100
35 -- 011011001001110110011011100000001001010110101100001000010000010000111110011010010
35 -- 100011101011010110011010100000110000001110010101001110000001011110110000000111000
35 -- 101011001001000001010011100001010001010011110011100010100001110011001110000100101
35 -- 010000111001010110011001011010000110000110111110110001010000111010010000101000010
35 -- 010000010001000011110000110000001001110110111001000010101100001011011111011000011
35 -- 110110111100001010001010110111110101011011000000000000010001010001111000010010001
35 -- 100101101000010111001000111100100010100110110100011001100010010010101000000111010
35 -- 100110011101100100010101000000111010100110100010010001010100110101010001100000111
35 -- 101010010001000100110100010000010010001010010011101111011100010101011000110000111
35 -- 101000101010100011000001000011111101011011001100001001110111010100010001100000001
35 -- 000000100110011000100100110101100111011011000011110000101110101001001000001111000
35 -- 000001000001101000000010101001001001011011011101111011001100110100000110010110011
35 -- 001011100101100011010010001000110011010111101010000101001000110111010100001100000
###
35 -- 100001100010111101011001000111100000010011101000100000101001011101100100101011000
35 -- 000110000100111101101100001001010000000110011010100001110111110101101010101000000
35 -- 000001001011001110001011101000111000011011101101000001010101101000110101000010010
35 -- 100100001100100101011010010110000000000011010010011111000011101001010110110111000
35 -- 101101011010110101001110100000110100111110000001100001110000001010001010010010010
35 -- 000000110110000000000000110100111001100010010110000110011011101110100100011011111
35 -- 000000111000101010001110010100110000000010111111001001110100100100011100110011001
35 -- 010011000000111001111110000111000101100110000000101101001001111000100010111100000
35 -- 010110110110000110100011110100000010001011000000001000011100110101011110110010100
35 -- 010011100001011000111100001000111101100010110000001000001110101101101100001101000
35 -- 000011001000011110010110101100111100000011111010001001001001100101000000000101111
35 -- 000000111110000011111010110101101001110110101101010001000000100001000010010101100
35 -- 000010011101010100111010010011111010011110000110000001010110000001101000010011001
35 -- 010101110001111100000111000010010000100110011001100001001101101101000010100101100
35 -- 100011000010110111001001101100111110000011110111000000010011001000000100001111000
35 -- 000110001001000010000101000001010000100011101111001001100010101110001101110101111
35 -- 111001001010010100000001001101101100011100111010100010000000011001010100110100111
35 -- 100000110010110001100110111100010000100011011101100111010101010100001001100000100
35 -- 001100010011001100000010110010110001011011001100110001010000111011010010000011101
35 -- 101000110110010010000100010000101001110011100101001111111010000000000101100011101
